,Title,Poem,Poet,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"
                    Collectable Blacks
                ","
This is the g-dropping vernacular
     I am stuck in. This is the polyphone
where my head is an agrarian gang
     sign pointing like a percussion mallet
to a corn maze in one of the smaller
     Indiana suburbs where there aren’t
supposed to be black folks. Be cool & try
     to grin it off. Be cool & try to lean
it off. Find a kind of black & bet on it.
     I’m grinning to this vernacular
like the big drum laugh tracks a patriotic
     marching band. Be cool & try to ride
the beat the same way me, Pryor,
     & Ra did driving across the 30th Street
Bridge, laughing at these two dudes
     with big afros like it’s 1981 peeing into
the water & looking at the stars. Right
     before Officer Friendly hit his lights.Face the car, fingers locked behind
     your heads. Right after the fireworks
started popping off. Do I need to call 
     the drug dog? Right after the rattling
windows, mosquitoes as busy in my ears
     as 4th of July traffic cops. Right before
the thrill of real planets & pretend planets
     spun high into the sky, Ra throwing up
three West Side fingers, each ringed
     by pyrotechnic glory & the misnomer
of the three of us grinning at the cop’s club
     down swinging at almost the exact same
time Pryor says, Cops put a hurting on your
     ass, man. & fireworks light up in the same
colors as angry knuckles if you don’t
     duck on the double. Especially on the West
Side—more carnivorous than almost any
     other part of Earth Voyager saw when
it snapped a blue picture on its way out
     of this violently Technicolor heliosphere.
 
",Adrian Matejka,"Cities & Urban Life,Crime & Punishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"
                    from Stone: 24
                ","
Leaves scarcely breathing
in the black breeze;
the flickering swallow
draws circles in the dusk.
 
In my loving
dying heart
a twilight is coming,
a last ray, gently reproaching.
 
And over the evening forest
the bronze moon climbs to its place.
Why has the music stopped?
Why is there such silence?
 
",Osip Mandelstam,"Stars, Planets, Heavens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"
                    from Stone: 98
                ","
The clock-cricket singing,
that’s the fever rustling.
The dry stove hissing,
that’s the fire in red silk.
 
The teeth of mice milling
the thin supports of life,
that’s the swallow my daughter
who unmoored my boat.
 
Rain-mumble on the roof—
that’s the fire in black silk.
But even at the bottom of the sea
the bird-cherry will hear ‘good-bye’.
 
For death is innocent,
and the heart,
all through the nightingale-fever,
however it turns, is still warm.
",Osip Mandelstam,"Time & Brevity,Animals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"
                    from Stone: 103 The Twilight of Freedom
                ","
Let us praise the twilight of freedom, brothers,
the great year of twilight!
A thick forest of nets has been let down
into the seething waters of night.
O sun, judge, people, desolate
are the years into which you are rising!
                     
Let us praise the momentous burden
that the people’s leader assumes, in tears.
Let us praise the twilight burden of power,
its weight too great to be borne.
Time, whoever has a heart
will hear your ship going down.
 
We have roped swallows together
into legions.
Now we can’t see the sun.
Everywhere nature twitters as it moves.
In the deepening twilight the earth swims into the nets
and the sun can’t be seen.
 
But what can we lose if we try one
groaning, wide, ungainly sweep of the rudder?
The earth swims. Courage,
brothers, as the cleft sea falls back from our plow.
Even as we freeze in Lethe we’ll remember
the ten heavens the earth cost us.
 
",Osip Mandelstam,History & Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"
                    from Stone: 122
                ","
Let me be in your service
like the others
mumbling predictions,
mouth dry with jealousy.
Parched tongue
thirsting, not even for the word—
for me the dry air is empty
again without you.
 
I’m not jealous any more
but I want you.
I carry myself like a victim
to the hangman.
I will not call you
either joy or love.
All my own blood is gone.
Something strange paces there now.
Another moment
and I will tell you:
it's not joy but torture
you give me.
I'm drawn to you
as to a crime—
to your ragged mouth,
to the soft bitten cherry.
Come back to me,
I'm frightened without you.
Never had you such power
over me as now.
Everything I desire
appears to me.
I'm not jealous any more.
I'm calling you.
 
",Osip Mandelstam,Realistic & Complicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"
                    from Poems: 140 1 January 1924
                ","
Whoever kisses time’s ancient nodding head
will remember later, like a loving son,
how the old man lay down to sleep
in the drift of wheat outside the window.
He who has opened the eyes of the age,
two large sleepy apples with inflamed lids,
hears forever after the roar of rivers
swollen with the wasted, lying times.
 
The age is a despot with two sleepy apples
to see with, and a splendid mouth of earth.
When he dies he’ll sink onto the numb
arm of his son, who’s already senile.
I know the breath growing weaker by the day
Not long not till the simple song
of the wrongs of earth is cut off,
and a tin seal put on the lips.
 
O life of earth! O dying age!
I’m afraid no one will understand you
but the man with the helpless smile
of one who has lost himself.
O the pain of peeling back the raw eyelids
to look for a lost word, and with lime
slaking in the veins, to hunt
for night herbs for a tribe of strangers!
 
The age. In the sick son’s blood the deposit of lime
is hardening. Moscow’s sleeping like a wooden coffin.
There’s no escaping the tyrant century.
After all these years the snow still smells of apples.
I want to run away from my own doorstep,
but where? Out in the street it’s dark,
and my conscience glitters ahead of me
like salt strewn on the pavement.
 
Somehow I’ve got myself set for a short journey
through the back lanes, past thatched eaves, starling houses,
an everyday passer-by, in a flimsy coat,
forever trying to button the lap-robe.
Street after street flashes past,
the frozen runners crunch like apples;
can’t get the button through the button-hole,
it keeps slipping out of my fingers.
 
The winter night thunders
like iron hardware through the Moscow streets.
Knocks like a frozen fish, or billows in steam,
flashing like a carp in a rosy tea-room.
Moscow is Moscow again. I say hello to her.
‘Don’t be stern with me; never mind.
I still respect the brotherhood
of the deep frost, and the pike’s justice.’
 
The pharmacy’s raspberry globe shines onto the snow.
Somewhere an Underwood typewriter’s rattled.
The sleigh-driver’s back, the snow knee-deep,
what more do you want? They won't touch you, won’t kill you.
Beautiful winter, and the goat sky
has crumbled into stars and is burning with milk.
And the lap-robe flaps and rings
like horse-hair against the frozen runners.
 
And the lanes smoked like kerosene stoves,
swallowed snow, raspberry, ice,
endlessly peeling, like a Soviet sonatina,
recalling nineteen-twenty.
The frost is smelling of apples again.
Could I ever betray to gossip-mongers
the great vow to the Fourth Estate
and oaths solemn enough for tears?
 
Who else will you kill? Who else will you worship?
What other lie will you dream up?
There’s the Underwood’s cartilage. Hurry, rip out a key,
you’ll find a little bone of a pike.
And in the sick son’s blood the deposit of lime
will melt, and there’ll be sudden blessèd laughter.
But the simple sonatina of typewriters
is only a faint shade of those great sonatas.
 
",Osip Mandelstam,History & Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"
                    from Poems of the Thirties: 286 [The Stalin Epigram]
                ","
Our lives no longer feel ground under them.
At ten paces you can’t hear our words.
 
But whenever there’s a snatch of talk
it turns to the Kremlin mountaineer,
 
the ten thick worms his fingers,
his words like measures of weight,
 
the huge laughing cockroaches on his top lip,
the glitter of his boot-rims.
 
Ringed with a scum of chicken-necked bosses
he toys with the tributes of half-men.
 
One whistles, another meouws, a third snivels.
He pokes out his finger and he alone goes boom.
 
He forges decrees in a line like horseshoes,
One for the groin, one the forehead, temple, eye.
 
He rolls the executions on his tongue like berries.
He wishes he could hug them like big friends from home.
 
",Osip Mandelstam,History & Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"
                    Love Letters
                ","
Many months have passed
since the diagnosis,
and you’re still grieving for her.
She’s not dead yet.
But she’s lost, like a child is lost—
her mind the ocean floor,
where she kicks up sand
and churns in the water.
 
Al, we call it, or AD—
never by its real name
as if mentioning the word would bring bad luck—
the need to cross one’s self across the heart,
throw back to the ocean half of one’s catch,
turn three times and pray to the East.
 
Papa’s and her letters,
written during their courtship,
are tied with a faded, red ribbon
and sunk in a safe deposit box at Bishop Trust.
Long ago, she gave them to you
for safekeeping. At the time
 
she exacted a promise from you,
that you would not read them
until she was dead.
We twist down the spiral staircase
curled like a strand of seaweed
into the cold room of vaults,
the heavy thud of door distinct as your sadness
following us everywhere. There,
you turn over the bundle of letters
in your hand like unbelievable money.
“I’m so tempted to read them,” you say.
 
You want her back,
the feisty and independent one,
the one who could, at eighty,
do ten knee bends in aerobics class,
dance a smooth jitterbug
and shuttle like the tide
to and from the house about her business.
Not this Elizabeth you mourn,
the one who can no longer reason,
who points and giggles at fat people
and smells, sometimes, like the ocean.
Time slides like Dali’s clock.
Elizabeth is surprised
that she once was married and had a husband,
that she once gave birth to sons.
 
",Juliet Kono,"Growing Old,Health & Illness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"
                    Shower
                ","
In her illness
Elizabeth believes we do this deliberately,
the washing of her body.
She blames me,
her Japanese daughter-in-law
for having made keeping her clean a fetish.
Angry, she says we do this to torment
her soul, the shower a hot
spray of needles we subject
on her moon-colored skin.
She hates it even more
if I’m there to wash her.
She wants her son,
the person she thinks of these days
as her lover, or husband, or father.
Memory and privacy,
she cries at their loss
as I soap her down like an old car.
What protestations!
And as I listen to her,
I think of these bodies
we have given so freely to men,
yet feel ashamed of
when in the eyes of another woman.
How she fawns
when she thinks a man’s around.
Today, she bangs the walls.
“I hate you! The water’s too wet!”
Hanging onto the safety bars,
she pitches back and forth
like a child,
wanting to be let out at the gate.
I wash her back.
She spins around
in my soap-lathered hands,
and loosening her face in mine,
she glares.
She sticks out her tongue,
and biting down on it, she squeals,
jowls swinging, arms jiggling.
Then, in a dive of both hands
between her legs,
she drops to a semi-squat, simian posture
and thrusts her pelvis bones forward
like mountains in an antediluvian upheaval.
In a gesture of obscenity,
she unfolds her petals
and displays her withered sex to me—
the same way boys moon, flip the bird
or grab their crotch and waggle their tongues—
the profane she feels but can’t articulate.
 
",Juliet Kono,"Growing Old,Health & Illness,The Body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"
                    Womanhood
                ","
When I was three,
a tsunami hit town.
“Daddy, Daddy, save me,
don’t let me drown.”
He saved me
and my common-type dolls.
 
When I was sixteen,
another tsunami hit town.
I cried to my daddy,
“Daddy, Daddy, please save me,
don’t let me drown!”
But he let go of my hand!
 
I still dance
to what broke on my life.
 
",Juliet Kono,"Sorrow & Grieving,Family & Ancestors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"
                    Homeless
                ","
My son lives on the streets.
We don’t see each other much.
Like a mother who puts white lilies
on the headstone of a dead child,
I put money into his bank account,
clothes into E-Z Access storage
and pretend he’s far away—
at a boarding school, or in a foreign country.
Nights, I dream fairy tales about him.
I dream he becomes a prince,
scholar or warrior who rescues me
from sorrow, the way he rescued me
when he was a child and said,
“Mommy, don’t cry,” and brought tea
into the room of his father’s acrimony—
brave, standing tall in the forest
fire of his father’s scorn. I wake
to the empty sound of wind in the trees.
He says he wants to live with me.
I say I can’t live with him—
boy whose words crash like branches in a rain storm.
Nothing can hold him in,
the walls of a house too thin.
Back home, I had seen
the “study-hard-so-you-don’t-become-like-them”
street bums on Mamo Street,
and he’s like them.
These days, in order to catch a glimpse of him,
I circle the city. One day,
I see him on his bike.
People give him wide berth,
the same way birds avoid power lines,
oncoming cars or trees.
I park on a side street.
Wild-eyed, he flies the block
as if in a holding pattern.
Not of my body, not of my hopes,
he homes in on what can’t be given or taken away.
 
",Juliet Kono,"Parenthood,Home Life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"
                    Bees Were Better
                ","
In college, people were always breaking up.
We broke up in parking lots,
beside fountains.
Two people broke up
across a table from me
at the library.
I could not sit at that table again
though I did not know them.
I studied bees, who were able
to convey messages through dancing
and could find their ways
home to their hives
even if someone put up a blockade of sheets
and boards and wire.
Bees had radar in their wings and brains
that humans could barely understand.
I wrote a paper proclaiming
their brilliance and superiority
and revised it at a small café
featuring wooden hive-shaped honey-dippers
in silver honeypots
at every table.
",Naomi Shihab Nye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"
                    Burning Monk
                ","
From the remains
of his cremation,
the monks recovered
 
the seat of Thich Quang Duc’s
consciousness —
 
a bloodless protest
to awaken the heart
of the oppressor
 
offered
at the crossing of
Phanh Dinh Phung
                                     & Le Van Duyet
doused in gasoline &
immolated by 4-meter
flames the orange-robed
 
arhat folded in
the stillness
of full lotus
 
his body withering
his crown blackening
 
his flesh charring
his corpse collapsing
 
his heart refusing to burn
his heart refusing to burn
his heart refusing to burn
 
",Shin Yu Pai,"Life Choices,Social Commentaries,History & Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"
                    Model Minorities
                ","
in the shooter’s
face, she recognizes
 
her sibling’s coarse
unforgiving hair,
 
his yellow skin,
& vacant stare,
 
the year her brother
broke down, she was
 
still in high
school, seventeen —
 
w/ a taste for cutting
not class but hands
 
& arms any outlet
to escape
 
this “community”
 
denies illness,
a family reacts —
 
against crying out loudlet it be some other Asian
 
in the shooter’s
face, I recognize
 
my sibling’s coarse
unforgiving hair,
 
his yellow skin,
& vacant stare,
 
the year my brother
broke down, I was
 
still in high
school, seventeen —
 
w/ a taste for cutting
not class but hands
 
& arms any outlet
to escape
 
this “community”
 
denies illness,
a family reacts —
 
against crying out loudlet it be some other Asian
 
",Shin Yu Pai,"Family & Ancestors,Crime & Punishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"
                    A Day Without an Immigrant, Dallas, Texas
                ","
At Pearl Street station,
two brown-skinned men
 
in painter’s pants stand
out in a sea of white
 
I am just one more face
sticking out in a crowd
 
& it is my privilege
 
that prevents me from
understanding why
 
the workers want to know
how to buy one-way trips
 
the automated machine
sells only one roundtrip fee,
 
back to where you came from
 
he isn’t asking me for change
says it clear enough so that
 
there can be no mistakeSí. Yo sé.
 But a dollar fifty is a lot of money.
 
",Shin Yu Pai,"Money & Economics,Race & Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"
                    Search & Recovery
                ","



For James Kim (1971 — 2006)



it could have
happened to any
of us
 
a wrong turn
down a logging road
tires tunneled
into snow
 
a man’s undying
love for his children
 
moves satellites
maps aerial images
 
eighteen care packages
dropped over 16
miles of the Siskiyou,
 
bearing handwritten
notes from a father
to his son
 
the signs
you left for those
who came after you
 
a red t-shirt
a wool sock,
a child’s blue skirt
 
layers of a life,
stripped down to
a family’s fate —
 
the weight of being
unseen — to travel
a path back to
 
what you knew
at birth, the warmth
of being held close
 
brought home
",Shin Yu Pai,"Parenthood,Travels & Journeys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"
from What the Heart Longs For When It Only Knows Heat [""We spend the afternoon together watching a docudrama...""]
                ","
We spend the afternoon together watching a docudrama about wild horses that roamed the ancient Arctic Circle. Surprisingly sleek, built for speed and not the weather, they were remarkable for their recklessness. They careen headlong down ice bluffs to fall into a broken heap. We can hear the small, tinny sounds of their terror as they plunge across vast, glowing glacial faces. All of this takes place alongside an abstractly relentless gunmetal sea. I can feel you turn to me, wetness marking the corners of your lips and eyes. I, too, am mesmerized, my vision limited to a sense of motion on the peripheries. Later, I am summoned for an impromptu scan and, miraculously, I pass.
",Sueyeun Juliette Lee,"Animals,Photography & Film",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"
from Solar Maximum [""My skin crawls at odd hours of the day...""]
                ","
My skin crawls at odd hours of the day, a residual effect of my recent radiation therapies, how they inadvertently synced me to coronal flares. During my morning tea, at the gym, during the drive back home. A simple turn transforms into an avalanching pinprick of tremors one millimeter thick. I’d have preferred a suppurative response—one that collects under the skin—to this invisible, blistering, cracklesome lightning scar. One can’t choose the mood that gathers, the body’s response.
 
The brightest moments of the day rarely correlate to a discharge. Gray sky or blackness, a foggy haze aswirl between stars and nothing halts. Some moments tear my teeth.
 
The news feed portends rolling blackouts across the state. I read over the last of my messages: A blanket request for a plasma donation, Sasha asking if I want a ride to the wake.
",Sueyeun Juliette Lee,"Health & Illness,The Body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
